"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"10000","Delaware","2","Population (midperiod, persons) 1/",897035,898798,900783,902941,904794,906608,908690,910817,912725,914544,916774,919131,921048,922974,925323,927790,929931,932018,934449,936917,938933,940946,943197,945356,947144,948977,951141,953362,955159,956930,959247,961731,963738,965828,968363,971005,973173,975438,978226,981245,983714,985835,988196,990851,992986,995225
"10000","Delaware","3","Per capita personal income (dollars) 2/",39882,40564,41431,41859,43620,43870,44221,44221,43600,44065,43738,45021,43999,44485,44531,44851,45383,45902,46367,46765,47487,48129,48000,48360,48395,48656,49022,49449,49754,50337,50956,51690,52102,52774,53443,53868,53385,53662,53836,54207,54729,57934,55745,55903,61798,57504
"11000","District of Columbia","1","Personal income (millions of dollars, seasonally adjusted)",37352.0,38084.0,38605.2,39256.4,40830.7,41176.9,41689.0,41883.4,42550.9,42954.6,42599.8,43937.0,43233.1,43619.0,43728.4,44208.8,45812.6,46483.2,47193.7,47631.5,49652.2,50278.7,50598.2,50820.0,51987.7,52481.1,52877.5,53391.5,53631.2,54124.6,54639.6,55417.5,55663.6,56310.7,57041.7,57275.5,56650.9,57001.5,57384.1,57924.9,58603.7,63205.1,62966.0,62049.7,66176.3,64435.3
"11000","District of Columbia","2","Population (midperiod, persons) 1/",600267,603527,607269,611142,614809,618415,622323,626260,630066,633806,637854,641931,645734,649554,653127,656243,659182,662096,665403,668905,672122,675352,678423,681140,683675,686241,688837,691333,693614,695871,698034,699919,701537,703243,704730,705863,706753,707718,709015,710462,711598,712460,713198,713905,714667,715603
"11000","District of Columbia","3","Per capita personal income (dollars) 2/",62226,63102,63572,64235,66412,66585,66989,66879,67534,67772,66786,68445,66952,67152,66952,67366,69499,70206,70925,71208,73874,74448,74582,74610,76042,76476,76763,77230,77321,77780,78276,79177,79345,80073,80941,81143,80157,80543,80935,81531,82355,88714,88287,86916,92597,90043
"12000","Florida","1","Personal income (millions of dollars, seasonally adjusted)",712930.8,728077.9,739418.4,749402.9,761433.5,769584.8,774402.4,780217.1,788129.1,794829.0,794151.4,825097.5,792654.6,798704.7,805807.8,814735.8,834947.8,854350.9,869565.2,886785.5,904536.5,916335.4,924420.1,934047.5,940523.8,946611.2,957633.9,971510.0,996444.0,1016781.2,1032618.7,1046680.6,1066193.0,1080295.4,1094250.1,1108016.0,1127664.5,1135582.2,1142853.4,1153097.0,1175293.1,1246105.4,1216737.0,1201848.2,1363364.2,1280833.8
"12000","Florida","2","Population (midperiod, persons) 1/",18782001,18825068,18876163,18932747,18981556,19029572,19089630,19154955,19214245,19271676,19337994,19405817,19462774,19520194,19592780,19673396,19745612,19816711,19904457,20001458,20087543,20173782,20273956,20380613,20478422,20576186,20675162,20768199,20851277,20933143,21016217,21091090,21154693,21219783,21288844,21353329,21407110,21462029,21529361,21600635,21659884,21710061,21761157,21814197,21863957,21916767
"12000","Florida","3","Per capita personal income (dollars) 2/",37958,38676,39172,39582,40114,40442,40567,40732,41018,41243,41067,42518,40727,40917,41128,41413,42285,43113,43687,44336,45030,45422,45596,45830,45928,46005,46318,46779,47788,48573,49134,49627,50400,50910,51400,51890,52677,52911,53083,53383,54261,57398,55913,55095,62357,58441
"13000","Georgia","1","Personal income (millions of dollars, seasonally adjusted)",332196.7,335977.5,340259.9,344668.0,357549.6,359326.3,363666.7,364459.7,367238.4,369428.7,368727.4,380432.6,372655.3,376518.0,377984.3,381651.3,392278.1,399723.3,406331.1,412831.2,420780.9,425630.3,430118.4,433220.1,438635.7,441363.6,445615.2,450480.2,460540.4,466234.2,471409.2,478769.6,485355.3,490318.5,496482.2,500543.4,512746.0,516090.4,519582.5,524693.0,530578.5,578265.1,561497.2,547925.0,624799.4,586626.1
"13000","Georgia","2","Population (midperiod, persons) 1/",9678771,9700354,9724927,9749239,9770777,9792056,9817171,9843348,9867600,9891089,9914324,9934335,9950131,9966307,9988531,10014254,10036885,10059248,10086928,10117037,10143010,10169310,10200225,10232929,10262460,10292468,10323352,10352363,10377840,10403070,10431211,10458594,10481854,10506199,10534305,10563140,10588013,10613934,10640989,10665810,10685821,10702475,10720826,10741218,10757490,10775320
